,Observation,date,lat,lon,station,Forecast
223,355.0,2020-09-14 18:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
224,361.0,2020-09-14 18:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
225,361.0,2020-09-14 19:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
226,355.0,2020-09-14 19:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
227,355.0,2020-09-14 19:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
228,355.0,2020-09-14 19:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
229,355.0,2020-09-14 20:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
230,355.0,2020-09-14 20:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
231,349.0,2020-09-14 20:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
232,355.0,2020-09-14 20:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
233,349.0,2020-09-14 21:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
234,355.0,2020-09-14 21:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
235,349.0,2020-09-14 21:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
236,355.0,2020-09-14 21:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
237,349.0,2020-09-14 22:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
238,349.0,2020-09-14 22:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
239,349.0,2020-09-14 22:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
240,349.0,2020-09-14 22:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
241,349.0,2020-09-14 23:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
242,349.0,2020-09-14 23:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
243,349.0,2020-09-14 23:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
244,349.0,2020-09-14 23:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
245,349.0,2020-09-15 00:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
246,349.0,2020-09-15 00:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
247,343.0,2020-09-15 00:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
248,343.0,2020-09-15 00:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
249,343.0,2020-09-15 01:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
250,343.0,2020-09-15 01:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
251,337.0,2020-09-15 01:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
252,343.0,2020-09-15 01:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
253,349.0,2020-09-15 02:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
254,343.0,2020-09-15 02:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
255,343.0,2020-09-15 02:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
256,349.0,2020-09-15 02:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
257,343.0,2020-09-15 03:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
258,343.0,2020-09-15 03:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
259,349.0,2020-09-15 03:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
260,343.0,2020-09-15 03:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
261,349.0,2020-09-15 04:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
262,343.0,2020-09-15 04:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
263,343.0,2020-09-15 04:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
264,349.0,2020-09-15 04:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
265,343.0,2020-09-15 05:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
266,343.0,2020-09-15 05:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
267,343.0,2020-09-15 05:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
268,349.0,2020-09-15 05:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
269,343.0,2020-09-15 06:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
270,343.0,2020-09-15 06:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
271,349.0,2020-09-15 06:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
272,349.0,2020-09-15 06:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
273,343.0,2020-09-15 07:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
274,349.0,2020-09-15 07:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
275,349.0,2020-09-15 07:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
276,349.0,2020-09-15 07:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
277,349.0,2020-09-15 08:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
278,349.0,2020-09-15 08:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
279,349.0,2020-09-15 08:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
280,349.0,2020-09-15 08:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
281,349.0,2020-09-15 09:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
282,355.0,2020-09-15 09:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
283,355.0,2020-09-15 09:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
284,355.0,2020-09-15 09:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
285,349.0,2020-09-15 10:00:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
286,355.0,2020-09-15 10:15:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
287,349.0,2020-09-15 10:30:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
288,349.0,2020-09-15 10:45:00-06:00,44.08242,-115.61313,South Fork Payette at Lowman,
